1740..1751    ; Grapheme_Base
1760..176C    ; Grapheme_Base
176E..1770    ; Grapheme_Base
1780..17B3    ; Grapheme_Base
17B6          ; Grapheme_Base
17BE..17C5    ; Grapheme_Base
17C7..17C8    ; Grapheme_Base
17D4..17D6    ; Grapheme_Base
17D7          ; Grapheme_Base
17D8..17DA    ; Grapheme_Base
17DB          ; Grapheme_Base
17DC          ; Grapheme_Base
17E0..17E9    ; Grapheme_Base
17F0..17F9    ; Grapheme_Base
1800..1805    ; Grapheme_Base
1806          ; Grapheme_Base
1807..180A    ; Grapheme_Base
180E          ; Grapheme_Base
1810..1819    ; Grapheme_Base
1820..1842    ; Grapheme_Base
1843          ; Grapheme_Base
1844..1877    ; Grapheme_Base
1880..18A8    ; Grapheme_Base
1900..191C    ; Grapheme_Base
1923..1926    ; Grapheme_Base
1929..192B    ; Grapheme_Base
1930..1931    ; Grapheme_Base
1933..1938    ; Grapheme_Base
1940          ; Grapheme_Base
1944..1945    ; Grapheme_Base
1946..194F    ; Grapheme_Base
1950..196D    ; Grapheme_Base
1970..1974    ; Grapheme_Base
19E0..19FF    ; Grapheme_Base
1D00..1D2B    ; Grapheme_Base
1D2C..1D61    ; Grapheme_Base
1D62..1D6B    ; Grapheme_Base
1E00..1E9B    ; Grapheme_Base
1EA0..1EF9    ; Grapheme_Base
1F00..1F15    ; Grapheme_Base
1F18..1F1D    ; Grapheme_Base
1F20..1F45    ; Grapheme_Base
1F48..1F4D    ; Grapheme_Base
1F50..1F57    ; Grapheme_Base
1F59          ; Grapheme_Base
1F5B          ; Grapheme_Base
1F5D          ; Grapheme_Base
1F5F..1F7D    ; Grapheme_Base
1F80..1FB4    ; Grapheme_Base
1FB6..1FBC    ; Grapheme_Base
1FBD          ; Grapheme_Base
1FBE          ; Grapheme_Base
1FBF..1FC1    ; Grapheme_Base
1FC2..1FC4    ; Grapheme_Base
1FC6..1FCC    ; Grapheme_Base
1FCD..1FCF    ; Grapheme_Base
1FD0..1FD3    ; Grapheme_Base
1FD6..1FDB    ; Grapheme_Base
1FDD..1FDF    ; Grapheme_Base
1FE0..1FEC    ; Grapheme_Base
1FED..1FEF    ; Grapheme_Base
1FF2..1FF4    ; Grapheme_Base
1FF6..1FFC    ; Grapheme_Base
1FFD..1FFE    ; Grapheme_Base
2000..200A    ; Grapheme_Base
2010..2015    ; Grapheme_Base
2016..2017    ; Grapheme_Base
2018          ; Grapheme_Base
2019          ; Grapheme_Base
201A          ; Grapheme_Base
201B..201C    ; Grapheme_Base
201D          ; Grapheme_Base
201E          ; Grapheme_Base
201F          ; Grapheme_Base
2020..2027    ; Grapheme_Base
202F          ; Grapheme_Base
2030..2038    ; Grapheme_Base
2039          ; Grapheme_Base
203A          ; Grapheme_Base
203B..203E    ; Grapheme_Base
203F..2040    ; Grapheme_Base
2041..2043    ; Grapheme_Base
2044          ; Grapheme_Base
2045          ; Grapheme_Base
2046          ; Grapheme_Base
2047..2051    ; Grapheme_Base
2052          ; Grapheme_Base
2053          ; Grapheme_Base
2054          ; Grapheme_Base
